  11 -26.79708 -20.52204 -15.38591 -13.95305 -12.20141  -8.26536  -6.15682  -3.32408  -1.01682   0.06879   2.56683   3.18095   4.00565   4.70902   5.03334   5.89894   5.99100   7.23917   7.69454   8.63501   8.91479   9.63853  10.03057  10.28338  10.66359  12.74236  12.98969  13.71736  14.06074  14.57860  15.79164  16.34272  17.26120  17.82586  18.65154  18.92267 
  12 -26.86912 -20.46281 -15.38920 -14.06454 -12.33738  -8.07940  -5.72262  -3.46799  -1.30480   0.11912   2.48969   3.26203   3.77117   4.46300   5.07815   5.77891   6.01084   7.15826   7.96940   8.56657   9.14693   9.63876  10.03349  10.31347  10.92060  12.96387  13.16177  13.59994  14.05984  14.44678  15.45650  16.61901  16.95589  18.09677  18.48868  18.82317 
  13 -26.93815 -20.39343 -15.43050 -14.17336 -12.46334  -7.87684  -5.28073  -3.61491  -1.60166   0.11811   2.36997   3.26508   3.73444   4.22790   4.98732   5.68905   6.14254   7.17141   8.09551   8.57801   9.48397   9.59302   9.90323  10.61856  11.24727  12.86175  13.41738  13.53570  13.86908  14.57064  15.19755  16.44905  16.96921  18.16550  18.47167  18.55117 
  14 -27.00328 -20.30563 -15.49865 -14.28574 -12.55865  -7.65815  -4.84374  -3.75351  -1.89090   0.04572   2.27602   3.09993   3.86588   4.10721   4.83778   5.60108   6.35013   7.24852   7.99426   8.83662   9.49337   9.76573   9.97479  10.99233  11.59952  12.64598  13.12941  13.62569  14.03244  14.60590  15.10073  16.12454  17.07125  17.94117  18.10632  18.62750 
  15 -27.06328 -20.20273 -15.58950 -14.39681 -12.62036  -7.42839  -4.43022  -3.87550  -2.16409  -0.09704   2.20914   2.93134   3.78351   4.26326   4.73033   5.53356   6.57433   7.35634   7.86740   9.07886   9.49430   9.81828  10.36467  11.40285  11.94801  12.38741  12.73680  13.60262  14.37338  14.41810  15.21178  15.85771  16.97573  17.49336  17.96133  18.43683 
  16 -27.11565 -20.09851 -15.69348 -14.50683 -12.65359  -7.20115  -4.07762  -3.95751  -2.41748  -0.28429   2.14724   2.80208   3.67849   4.33115   4.76994   5.54034   6.77123   7.44025   7.79535   9.11536   9.66748   9.94787  10.81467  11.76325  12.06098  12.25927  12.53893  13.52179  14.06868  14.78650  15.31714  15.57815  16.77659  17.04423  17.67312  17.95243 
  17 -27.16002 -20.00020 -15.79905 -14.60834 -12.66053  -6.98450  -4.06627  -3.73179  -2.64145  -0.47605   2.07711   2.71250   3.61296   4.27790   4.86908   5.66636   6.91459   7.49372   7.82155   9.08257   9.74139  10.28219  11.26904  11.57500  12.12690  12.44954  12.63824  13.47947  13.80324  14.80243  15.26660  15.58872  16.32628  16.89270  17.04962  17.68816 
  18 -27.19285 -19.90064 -15.89529 -14.69305 -12.64748  -6.78874  -4.10205  -3.49274  -2.82767  -0.64140   2.00627   2.64894   3.57853   4.21773   4.92419   5.86896   6.99542   7.56160   7.92990   9.03888   9.75906  10.66045  11.26277  11.73689  12.08330  12.60035  12.97798  13.51496  13.65612  14.51402  15.01920  15.74373  16.07196  16.33194  16.82702  17.35182 
  19 -27.22131 -19.82753 -15.98309 -14.75939 -12.64370  -6.63993  -4.11286  -3.36921  -2.96921  -0.76764   1.94620   2.60232   3.55905   4.17471   4.95127   6.04669   7.01926   7.66050   8.06592   8.95543   9.74640  10.88869  11.18962  11.87319  12.21542  12.69577  13.28545  13.53456  13.71520  14.23320  14.88103  15.20933  15.88218  16.20258  16.59644  17.24244 
  20 -27.23795 -19.77749 -16.03879 -14.80208 -12.63901  -6.54508  -4.10290  -3.34590  -3.02145  -0.83971   1.90685   2.57335   3.54824   4.15073   4.96913   6.15646   7.02017   7.76925   8.21606   8.83022   9.73521  10.90532  11.26864  11.87110  12.35435  12.95962  13.28260  13.55679  13.89138  14.20756  14.55187  15.09252  15.49860  15.80424  16.68313  17.16988 
